MeteoSchweiz/MeteoSuisse/MeteoSvizzera/MeteoSwiss

stn;time;tso010hs;tso020hs;tso005hs;gre000b0;prestab0;tre200b0;tre005b0;rre150b0;ure200b0;sre000b0;fkl010b0;dkl010b0
REH;2012010100;4.1;3.7;5.1;0.0;966.8;7.3;6.5;0.3;92.7;0.0;3.7;224
REH;2012010101;4.1;3.7;5.2;0.0;966.8;7.5;6.6;0.0;90.9;0.0;4.7;222
REH;2012010102;4.2;3.8;5.1;0.0;967.2;7.5;6.6;0.0;90.4;0.0;3.6;233
REH;2012010103;4.2;3.8;5.2;0.0;967.1;7.9;7.0;0.0;89.1;0.0;4.4;222
REH;2012010104;4.3;3.9;5.2;0.0;966.8;8.1;7.1;0.0;88.5;0.0;3.5;216
REH;2012010105;4.3;3.9;5.3;0.0;966.9;8.3;7.5;0.0;87.2;0.0;4.9;223
REH;2012010106;4.4;4.0;5.5;0.0;967.2;8.4;7.5;0.0;87.3;0.0;4.9;223
REH;2012010107;4.4;4.0;5.4;0.0;967.6;8.3;7.4;0.0;88.0;0.0;3.2;216
REH;2012010108;4.5;4.1;5.4;6.0;967.9;8.4;7.6;0.0;88.2;0.0;2.5;239
REH;2012010109;4.5;4.1;5.6;54.2;968.1;8.8;8.1;0.0;87.8;0.0;4.1;222
REH;2012010110;4.6;4.2;6.0;108.7;968.3;9.6;9.5;0.0;84.6;0.0;5.0;235
REH;2012010111;4.8;4.3;6.3;119.7;968.2;9.8;10.4;0.0;83.5;0.0;2.9;216
REH;2012010112;4.9;4.3;6.6;148.0;967.7;9.8;10.8;0.0;82.7;0.0;2.6;185
REH;2012010113;5.1;4.4;6.9;123.3;967.3;10.6;10.9;0.0;81.7;0.0;3.5;212
REH;2012010114;5.2;4.5;7.0;116.5;966.7;10.8;11.4;0.0;81.1;1.0;2.3;172
REH;2012010115;5.4;4.6;7.3;93.8;966.4;11.2;11.4;0.0;78.5;19.0;3.3;198
REH;2012010116;5.5;4.7;7.0;10.7;966.4;9.7;8.5;0.0;82.4;0.0;2.8;182
REH;2012010117;5.5;4.8;6.6;0.0;966.5;9.1;7.7;0.0;85.2;0.0;3.0;183
REH;2012010118;5.5;4.9;6.3;0.0;966.4;9.7;8.0;0.0;83.8;0.0;3.2;207
REH;2012010119;5.4;4.9;6.1;0.0;966.3;8.3;6.6;0.0;85.6;0.0;2.6;173
REH;2012010120;5.4;4.9;5.7;0.0;966.2;6.3;4.1;0.0;91.1;0.0;1.1;99
REH;2012010121;5.2;4.9;5.1;0.0;965.7;5.9;2.8;0.0;92.6;0.0;0.8;121
REH;2012010122;5.1;4.9;4.7;0.0;965.1;5.2;2.8;0.0;94.0;0.0;0.8;94
REH;2012010123;4.9;4.9;4.5;0.0;964.3;5.4;3.2;0.0;91.1;0.0;1.0;84
REH;2012010200;4.8;4.8;4.4;0.0;963.7;5.4;2.8;0.0;89.6;0.0;1.2;79
REH;2012010201;4.7;4.8;4.2;0.0;963.2;4.3;1.3;0.0;93.7;0.0;0.7;180
REH;2012010202;4.6;4.8;3.9;0.0;962.9;5.1;2.3;0.0;90.8;0.0;0.6;161
REH;2012010203;4.5;4.7;3.9;0.0;962.4;5.4;2.9;0.0;91.2;0.0;1.1;158
REH;2012010204;4.5;4.7;3.9;0.0;961.6;5.4;2.9;0.0;90.9;0.0;0.5;189
REH;2012010205;4.4;4.6;3.9;0.0;961.1;6.0;3.6;0.0;87.0;0.0;1.3;152
REH;2012010206;4.4;4.6;4.1;0.0;960.6;6.1;4.2;0.0;85.5;0.0;1.8;140
REH;2012010207;4.4;4.5;4.2;0.0;960.1;6.8;4.8;0.0;80.5;0.0;2.7;169
REH;2012010208;4.4;4.5;4.4;6.5;959.9;8.1;5.7;0.0;75.3;0.0;1.9;175
REH;2012010209;4.4;4.5;4.6;34.8;960.2;8.0;6.7;0.0;77.7;0.0;1.4;155
REH;2012010210;4.5;4.5;4.9;46.2;960.6;9.5;8.4;0.0;72.3;0.0;3.1;209
REH;2012010211;4.6;4.5;5.6;71.3;960.6;10.0;9.5;0.0;73.1;0.0;5.2;242
REH;2012010212;4.9;4.6;6.3;21.7;960.7;8.9;7.6;1.2;83.5;0.0;6.6;251
REH;2012010213;5.1;4.6;6.4;52.2;961.7;8.0;7.0;0.9;84.6;0.0;6.2;261
REH;2012010214;5.2;4.7;6.0;61.5;963.0;7.3;6.5;0.0;84.1;0.0;4.5;236
REH;2012010215;5.2;4.8;5.8;13.3;964.2;6.8;6.0;1.4;88.6;0.0;4.1;238
REH;2012010216;5.2;4.8;5.6;0.3;965.3;5.8;4.9;2.1;88.4;0.0;3.5;263
REH;2012010217;5.2;4.9;5.2;0.0;965.7;5.3;4.4;0.7;90.4;0.0;2.4;231
REH;2012010218;5.0;4.9;4.9;0.0;966.1;5.9;4.7;0.0;87.1;0.0;3.7;229
REH;2012010219;5.0;4.9;4.9;0.0;966.8;5.9;4.9;0.2;85.7;0.0;4.1;238
REH;2012010220;4.9;4.9;4.8;0.0;967.6;5.1;3.9;0.1;88.0;0.0;2.3;236
REH;2012010221;4.9;4.9;4.6;0.0;968.5;4.1;3.1;0.0;96.8;0.0;0.7;93
REH;2012010222;4.8;4.8;4.5;0.0;969.2;4.3;2.8;0.0;93.6;0.0;0.7;111
REH;2012010223;4.8;4.8;4.3;0.0;969.8;3.7;1.8;0.0;93.3;0.0;1.0;137
REH;2012010300;4.7;4.8;4.1;0.0;970.5;4.1;2.6;0.0;91.4;0.0;1.0;258
REH;2012010301;4.6;4.8;4.0;0.0;971.4;3.5;2.8;0.5;91.2;0.0;2.1;286
REH;2012010302;4.5;4.8;4.0;0.0;972.3;3.1;2.3;0.0;95.1;0.0;0.4;184
REH;2012010303;4.5;4.7;3.9;0.0;972.7;3.7;2.1;0.0;87.5;0.0;2.1;223
REH;2012010304;4.4;4.7;3.7;0.0;973.3;3.7;2.0;0.0;87.7;0.0;2.8;235
REH;2012010305;4.4;4.7;3.6;0.0;973.7;3.7;2.2;0.0;87.7;0.0;2.4;235
REH;2012010306;4.3;4.6;3.5;0.0;974.0;2.7;0.2;0.0;93.2;0.0;1.3;215
REH;2012010307;4.2;4.6;3.3;0.0;973.6;1.3;-1.6;0.0;96.1;0.0;1.1;207
REH;2012010308;4.1;4.5;2.9;17.5;973.6;1.2;-1.6;0.0;94.8;10.0;1.3;197
REH;2012010309;4.0;4.5;2.8;114.2;973.5;3.3;2.5;0.0;81.0;60.0;1.9;202
REH;2012010310;3.9;4.4;3.2;245.8;973.1;5.0;6.0;0.0;69.9;60.0;3.2;211
REH;2012010311;4.0;4.4;4.0;305.2;972.4;5.8;6.9;0.0;64.6;60.0;4.4;221
REH;2012010312;4.1;4.4;4.4;231.7;971.7;6.0;6.5;0.0;64.4;42.0;4.4;223
REH;2012010313;4.2;4.4;4.6;292.5;970.7;6.9;7.8;0.0;59.2;56.0;4.3;222
REH;2012010314;4.3;4.4;4.7;140.7;970.0;7.3;7.2;0.0;53.5;15.0;4.3;233
REH;2012010315;4.4;4.4;4.6;73.8;969.7;7.0;6.3;0.0;53.8;0.0;4.4;231
REH;2012010316;4.4;4.5;4.3;18.5;969.4;6.3;4.9;0.0;57.5;0.0;3.7;229
REH;2012010317;4.4;4.5;3.9;0.0;969.2;5.8;4.2;0.0;58.8;0.0;5.4;244
REH;2012010318;4.3;4.5;3.7;0.0;969.1;6.1;4.6;0.0;56.5;0.0;6.0;239
REH;2012010319;4.3;4.5;3.6;0.0;969.2;6.0;4.1;0.0;59.8;0.0;3.3;225
REH;2012010320;4.2;4.5;3.5;0.0;968.3;6.6;4.7;0.0;61.1;0.0;4.8;223
REH;2012010321;4.2;4.5;3.8;0.0;967.1;8.1;6.4;0.0;59.4;0.0;4.7;232
REH;2012010322;4.2;4.4;4.1;0.0;966.7;8.1;6.9;0.0;53.7;0.0;3.6;255
REH;2012010323;4.3;4.4;4.2;0.0;965.9;7.3;5.7;0.0;56.2;0.0;3.5;241
